ID,Region_ELE4,Tamaño_ELE4,GlosaCIIU_ELE4,Basic,Mngt,CCM,Core,Cloud,Sec,Non-system,Invsuppliers,Infosearch,Custcomm,E-goverm,Non-website,Co&Good-Info,Contact-form,Orders,Payment,Orderinvent,Delivery,Aftersales,Advertising,Docexch,Recruit
100280,1,Pequeña 1,Construcción,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
101980,5,Pequeña 2,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
105136,5,Micro,Actividades de alojamiento y de servicio de comidas,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
104826,9,Micro,Otros servicios,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
106127,6,Pequeña 2,"Agricultura , Ganadería, Silvicultura y Pesca",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101696,14,Mediana,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105273,3,Pequeña 2,Explotación de Minas y Canteras,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
104484,8,Pequeña 1,Otros servicios,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
106432,10,Pequeña 2,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
103065,5,Mediana,Transporte y Almacenamiento,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
102920,6,Micro,"Agricultura , Ganadería, Silvicultura y Pesca",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100001,2,Pequeña 2,Industrias Manufactureras,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
101919,5,Micro,Transporte y Almacenamiento,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
102992,6,Micro,Transporte y Almacenamiento,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104925,9,Micro,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0
101259,11,Pequeña 2,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
104809,9,Pequeña 1,Construcción,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
103482,7,Pequeña 2,Construcción,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
